name,artists,spotify_url
Emiliana,CKay,https://open.spotify.com/track/6lZ5p6VTbZ2ZvnsdTlLv7I
Calm Down,Rema,https://open.spotify.com/track/0prHRcmwD2Kk6no5sMovDD
Free My Mind,Omah Lay,https://open.spotify.com/track/7J9d3fSXkT9pGi46aknapR
